item,category,2020,2021,2022,2023
세종특별자치시 - 4년전 총인구,Statistics,242507.0,276589.0,312374.0,338136.0
세종특별자치시 - 5년간 연평균 인구증감률,Statistics,9.9,7.3,5.2,3.4
세종특별자치시 - 당해년 총인구,Statistics,353933.0,366227.0,382589.0,386261.0
속초시 - 4년전 총인구,Statistics,79109.0,78618.0,78312.0,78643.0
속초시 - 5년간 연평균 인구증감률,Statistics,0.3,0.6,0.8,0.6
속초시 - 당해년 총인구,Statistics,80054.0,80362.0,80903.0,80497.0
송파구 - 4년전 총인구,Statistics,628212.0,633953.0,638167.0,648600.0
송파구 - 5년간 연평균 인구증감률,Statistics,0.6,0.0,-0.1,-0.7
송파구 - 당해년 총인구,Statistics,643288.0,634720.0,635758.0,630744.0
수성구 - 4년전 총인구,Statistics,432714.0,425546.0,418834.0,415283.0
수성구 - 5년간 연평균 인구증감률,Statistics,-1.2,-1.0,-1.0,-1.2
수성구 - 당해년 총인구,Statistics,412912.0,408085.0,402458.0,396295.0
수영구 - 4년전 총인구,Statistics,172667.0,173059.0,170296.0,170414.0
