item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
공주시 - 당해년 총인구＜br＞(A),Statistics,134383.0,133012.0,131769.0,131140.0,130595.0,129862.0,128573.0,127391.0,126542.0,127260.0,127025.0,119157.0,118236.0,115384.0,113057.0,111849.0,110428.0,109687.0,108629.0,106536.0,105094.0,104724.0,104524.0
공주시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-1.14,-1.02,-0.93,-0.48,-0.42,-0.56,-0.99,-0.92,-0.67,0.57,-0.18,-6.19,-0.77,-2.41,-2.02,-1.07,-1.27,-0.67,-0.96,-1.93,-1.35,-0.35,-0.19
공주시 - 전년 총인구＜br＞(B),Statistics,135931.0,134383.0,133012.0,131769.0,131140.0,130595.0,129862.0,128573.0,127391.0,126542.0,127260.0,127025.0,119157.0,118236.0,115384.0,113057.0,111849.0,110428.0,109687.0,108629.0,106536.0,105094.0,104724.0
과천시 - 당해년 총인구＜br＞(A),Statistics,71525.0,70716.0,70641.0,68641.0,61206.0,60876.0,62603.0,69803.0,72382.0,72595.0,72286.0,71378.0,70875.0,70448.0,69220.0,64013.0,57738.0,58325.0,58462.0,63397.0,73528.0,78329.0,81219.0
과천시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.31,-1.13,-0.11,-2.83,-10.83,-0.54,2.84,11.5,3.69,0.29,-0.43,-1.26,-0.7,-0.6,-1.74,-7.52,-9.8,1.02,0.23,8.44,15.98,6.53,3.69
과천시 - 전년 총인구＜br＞(B),Statistics,71749.0,71525.0,70716.0,70641.0,68641.0,61206.0,60876.0,62603.0,69803.0,72382.0,72595.0,72286.0,71378.0,70875.0,70448.0,69220.0,64013.0,57738.0,58325.0,58462.0,63397.0,73528.0,78329.0
관악구 - 당해년 총인구＜br＞(A),Statistics,529741.0,524560.0,526971.0,535688.0,537235.0,545995.0,550766.0,551873.0,547311.0,549736.0,546357.0,540520.0,535128.0,531960.0,529031.0,525607.0,520929.0,520040.0,517334.0,509803.0,499449.0,501226.0,497883.0
관악구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.73,-0.98,0.46,1.65,0.29,1.63,0.87,0.2,-0.83,0.44,-0.61,-1.07,-1.0,-0.59,-0.55,-0.65,-0.89,-0.17,-0.52,-1.46,-2.03,0.36,-0.67
관악구 - 전년 총인구＜br＞(B),Statistics,525926.0,529741.0,524560.0,526971.0,535688.0,537235.0,545995.0,550766.0,551873.0,547311.0,549736.0,546357.0,540520.0,535128.0,531960.0,529031.0,525607.0,520929.0,520040.0,517334.0,509803.0,499449.0,501226.0
광명시 - 당해년 총인구＜br＞(A),Statistics,337175.0,341617.0,337516.0,333053.0,329716.0,315945.0,316354.0,314317.0,318154.0,348214.0,359950.0,360004.0,357707.0,353839.0,350717.0,345403.0,338633.0,333114.0,322494.0,303068.0,296471.0,291160.0,283124.0
광명시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.5,1.32,-1.2,-1.32,-1.0,-4.18,0.13,-0.64,1.22,9.45,3.37,0.02,-0.64,-1.08,-0.88,-1.52,-1.96,-1.63,-3.19,-6.02,-2.18,-1.79,-2.76
광명시 - 전년 총인구＜br＞(B),Statistics,338855.0,337175.0,341617.0,337516.0,333053.0,329716.0,315945.0,316354.0,314317.0,318154.0,348214.0,359950.0,360004.0,357707.0,353839.0,350717.0,345403.0,338633.0,333114.0,322494.0,303068.0,296471.0,291160.0
광산구 - 당해년 총인구＜br＞(A),Statistics,264734.0,277193.0,289370.0,298808.0,309829.0,315350.0,320395.0,325822.0,348512.0,369845.0,382380.0,392155.0,400613.0,406074.0,410543.0,413956.0,416285.0,417501.0,418776.0,417557.0,416012.0,413796.0,411282.0
광산구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,4.06,4.71,4.39,3.26,3.69,1.78,1.6,1.69,6.96,6.12,3.39,2.56,2.16,1.36,1.1,0.83,0.56,0.29,0.31,-0.29,-0.37,-0.53,-0.61
