item,category,2011,2013,2015,2017,2019,2021,2023
대전광역시 - 남자 - 관람횟수(평균),Statistics,8.7,8.8,8.7,9.5,7.6,4.435,7.472
대전광역시 - 여자 - - 기타,Statistics,,,,,0.2,,0.588
대전광역시 - 여자 - - 무용,Statistics,3.8,3.8,1.8,4.0,2.2,,2.302
대전광역시 - 여자 - - 문학행사,Statistics,,,,,,,8.885
대전광역시 - 여자 - - 미술관,Statistics,28.7,24.0,25.6,28.0,20.7,16.053,28.541
대전광역시 - 여자 - - 박물관,Statistics,28.9,29.8,29.2,30.4,25.9,15.374,25.646
대전광역시 - 여자 - - 스포츠 경기,Statistics,17.3,13.0,14.7,18.6,18.0,12.192,18.645
대전광역시 - 여자 - - 연극·마당극·뮤지컬,Statistics,25.3,25.1,21.5,22.2,20.2,9.938,22.219
대전광역시 - 여자 - - 영화,Statistics,82.0,88.7,88.6,91.0,88.3,71.147,80.326
대전광역시 - 여자 - - 음악·연주회·콘서트,Statistics,33.2,28.3,26.1,32.7,35.3,14.584,31.254
대전광역시 - 여자 - · 관람 횟수(평균),Statistics,2.2,2.4,2.2,2.8,2.3,2.065,2.178
대전광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 여자 - 관람함,Statistics,62.3,73.9,73.1,69.9,70.3,26.831,55.752
대전광역시 - 여자 - 관람횟수(평균),Statistics,8.5,9.0,8.2,9.8,7.9,3.442,6.89
부산광역시 - 계 - - 기타,Statistics,,,,,,,0.273
부산광역시 - 계 - - 무용,Statistics,2.3,1.5,1.4,1.3,1.7,1.434,1.759
부산광역시 - 계 - - 문학행사,Statistics,,,,,,,7.419
부산광역시 - 계 - - 미술관,Statistics,18.7,16.4,13.1,14.1,17.1,16.217,20.187
부산광역시 - 계 - - 박물관,Statistics,24.0,21.7,21.2,17.8,17.6,15.456,21.37
